Model,Accuracy,Precision,Recall,F1,ROC-AUC,Training_Time
Logistic Regression,0.7782075014324121,0.7818200023592337,0.7782075014324121,0.7795498643075377,0.843317876868178,54.02805495262146
Decision Tree,0.7791771342941514,0.7791029071040491,0.7791771342941514,0.7791397262844664,0.5531747295722759,15.085965633392334
Random Forest,0.7591564194102869,0.7678758184150958,0.7591564194102869,0.7617376906782958,0.832614225477893,21.394320487976078
GBT Classifier,0.7866366961963948,0.7885639951415151,0.7866366961963946,0.7874355861535752,0.8559626725190475,82.8922164440155
